name,tier,sector,sub_sector,region,country,hq,employees,fit,functions,website,linkedin,careers,notes
Plaid,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.plaid.com,https://www.linkedin.com/company/plaid,https://www.plaid.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Tink,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.tink.com,https://www.linkedin.com/company/tink,https://www.tink.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
TrueLayer,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.truelayer.com,https://www.linkedin.com/company/truelayer,https://www.truelayer.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Yapily,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.yapily.com,https://www.linkedin.com/company/yapily,https://www.yapily.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Volt,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.volt.com,https://www.linkedin.com/company/volt,https://www.volt.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Token.io,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://token.io,https://www.linkedin.com/company/token-io,https://token.io/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Finicity,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.finicity.com,https://www.linkedin.com/company/finicity,https://www.finicity.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Bud,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.bud.com,https://www.linkedin.com/company/bud,https://www.bud.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Salt Edge,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.salt-edge.com,https://www.linkedin.com/company/salt-edge,https://www.salt-edge.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Belvo,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.belvo.com,https://www.linkedin.com/company/belvo,https://www.belvo.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Stripe,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.stripe.com,https://www.linkedin.com/company/stripe,https://www.stripe.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Adyen,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.adyen.com,https://www.linkedin.com/company/adyen,https://www.adyen.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Checkout.com,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.checkout.com,https://www.linkedin.com/company/checkout-com,https://www.checkout.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Airwallex,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.airwallex.com,https://www.linkedin.com/company/airwallex,https://www.airwallex.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Wise,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.wise.com,https://www.linkedin.com/company/wise,https://www.wise.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Rapyd,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.rapyd.com,https://www.linkedin.com/company/rapyd,https://www.rapyd.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Marqeta,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.marqeta.com,https://www.linkedin.com/company/marqeta,https://www.marqeta.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
GoCardless,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.gocardless.com,https://www.linkedin.com/company/gocardless,https://www.gocardless.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Nium,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.nium.com,https://www.linkedin.com/company/nium,https://www.nium.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Thunes,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.thunes.com,https://www.linkedin.com/company/thunes,https://www.thunes.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Thought Machine,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.thought-machine.com,https://www.linkedin.com/company/thought-machine,https://www.thought-machine.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Mambu,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.mambu.com,https://www.linkedin.com/company/mambu,https://www.mambu.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Solaris,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.solaris.com,https://www.linkedin.com/company/solaris,https://www.solaris.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Finastra,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.finastra.com,https://www.linkedin.com/company/finastra,https://www.finastra.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
10x Banking,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.10xbanking.com,https://www.linkedin.com/company/10x-banking,https://www.10xbanking.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Backbase,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.backbase.com,https://www.linkedin.com/company/backbase,https://www.backbase.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Temenos,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.temenos.com,https://www.linkedin.com/company/temenos,https://www.temenos.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Finxact,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.finxact.com,https://www.linkedin.com/company/finxact,https://www.finxact.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Synapse,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.synapse.com,https://www.linkedin.com/company/synapse,https://www.synapse.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Unit,Tier 1,Banking Infrastructure,Banking Infrastructure,Global,,,,9,"Engineering, Product, Implementation, Partnerships",https://www.unit.com,https://www.linkedin.com/company/unit,https://www.unit.com/careers,"Tier 1 Banking Infrastructure talent pool for Lean. Useful for engineering, product, implementation, partnerships mapping."
Tabby,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.tabby.com,https://www.linkedin.com/company/tabby,https://www.tabby.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Tamara,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.tamara.com,https://www.linkedin.com/company/tamara,https://www.tamara.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Careem,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.careem.com,https://www.linkedin.com/company/careem,https://www.careem.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Foodics,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.foodics.com,https://www.linkedin.com/company/foodics,https://www.foodics.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Paymob,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.paymob.com,https://www.linkedin.com/company/paymob,https://www.paymob.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Lean Technologies,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://leantech.me,https://www.linkedin.com/company/leantech-me,https://leantech.me/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Geidea,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.geidea.com,https://www.linkedin.com/company/geidea,https://www.geidea.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Ziina,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.ziina.com,https://www.linkedin.com/company/ziina,https://www.ziina.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Mamo,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.mamo.com,https://www.linkedin.com/company/mamo,https://www.mamo.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
YAP,Tier 1,GCC Fintech Champions,GCC Fintech Champions,MENA / GCC,,,,9,"Product, Commercial, Partnerships, Operations",https://www.yap.com,https://www.linkedin.com/company/yap,https://www.yap.com/careers,"Tier 1 GCC Fintech Champions talent pool for Lean. Useful for product, commercial, partnerships, operations mapping."
Flutterwave,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.flutterwave.com,https://www.linkedin.com/company/flutterwave,https://www.flutterwave.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Moniepoint,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.moniepoint.com,https://www.linkedin.com/company/moniepoint,https://www.moniepoint.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Interswitch,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.interswitch.com,https://www.linkedin.com/company/interswitch,https://www.interswitch.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Chipper Cash,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.chipper-cash.com,https://www.linkedin.com/company/chipper-cash,https://www.chipper-cash.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
M-Pesa,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.m-pesa.com,https://www.linkedin.com/company/m-pesa,https://www.m-pesa.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Stitch,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.stitch.com,https://www.linkedin.com/company/stitch,https://www.stitch.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Yoco,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.yoco.com,https://www.linkedin.com/company/yoco,https://www.yoco.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Paystack,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.paystack.com,https://www.linkedin.com/company/paystack,https://www.paystack.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
TymeBank,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.tymebank.com,https://www.linkedin.com/company/tymebank,https://www.tymebank.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Kuda,Tier 1,Africa Fintech Champions,Africa Fintech Champions,Africa,,,,9,"Product, Engineering, Commercial, Operations",https://www.kuda.com,https://www.linkedin.com/company/kuda,https://www.kuda.com/careers,"Tier 1 Africa Fintech Champions talent pool for Lean. Useful for product, engineering, commercial, operations mapping."
Revolut,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.revolut.com,https://www.linkedin.com/company/revolut,https://www.revolut.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Monzo,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.monzo.com,https://www.linkedin.com/company/monzo,https://www.monzo.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Starling Bank,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.starlingbank.com,https://www.linkedin.com/company/starling-bank,https://www.starlingbank.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
N26,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.n26.com,https://www.linkedin.com/company/n26,https://www.n26.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Bunq,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.bunq.com,https://www.linkedin.com/company/bunq,https://www.bunq.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Nubank,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.nubank.com,https://www.linkedin.com/company/nubank,https://www.nubank.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Lunar,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.lunar.com,https://www.linkedin.com/company/lunar,https://www.lunar.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Varo Bank,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.varomoney.com,https://www.linkedin.com/company/varo-bank,https://www.varomoney.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Chime,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.chime.com,https://www.linkedin.com/company/chime,https://www.chime.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Current,Tier 2,Digital Banking,Digital Banking,US / Europe / LATAM,,,,8,"Product, Engineering, Risk, Compliance, Growth",https://www.current.com,https://www.linkedin.com/company/current,https://www.current.com/careers,"Tier 2 Digital Banking talent pool for Lean. Useful for product, engineering, risk, compliance, growth mapping."
Klarna,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.klarna.com,https://www.linkedin.com/company/klarna,https://www.klarna.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Zilch,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.zilch.com,https://www.linkedin.com/company/zilch,https://www.zilch.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
LendingClub,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.lendingclub.com,https://www.linkedin.com/company/lendingclub,https://www.lendingclub.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Affirm,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.affirm.com,https://www.linkedin.com/company/affirm,https://www.affirm.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Upstart,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.upstart.com,https://www.linkedin.com/company/upstart,https://www.upstart.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Prosper,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.prosper.com,https://www.linkedin.com/company/prosper,https://www.prosper.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
SoFi,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.sofi.com,https://www.linkedin.com/company/sofi,https://www.sofi.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Tala,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.tala.com,https://www.linkedin.com/company/tala,https://www.tala.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Branch,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.branch.com,https://www.linkedin.com/company/branch,https://www.branch.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
OakNorth,Tier 2,Lending & Credit,Lending & Credit,Global,,,,8,"Product, Risk, Credit, Data, Commercial",https://www.oaknorth.com,https://www.linkedin.com/company/oaknorth,https://www.oaknorth.com/careers,"Tier 2 Lending & Credit talent pool for Lean. Useful for product, risk, credit, data, commercial mapping."
Onfido,Tier 2,"Identity, Risk & Compliance","Identity, Risk & Compliance",Global,,,,8,"Product, Risk, Compliance, Data, Engineering",https://www.onfido.com,https://www.linkedin.com/company/onfido,https://www.onfido.com/careers,"Tier 2 Identity, Risk & Compliance talent pool for Lean. Useful for product, risk, compliance, data, engineering mapping."
Trulioo,Tier 2,"Identity, Risk & Compliance","Identity, Risk & Compliance",Global,,,,8,"Product, Risk, Compliance, Data, Engineering",https://www.trulioo.com,https://www.linkedin.com/company/trulioo,https://www.trulioo.com/careers,"Tier 2 Identity, Risk & Compliance talent pool for Lean. Useful for product, risk, compliance, data, engineering mapping."
Veriff,Tier 2,"Identity, Risk & Compliance","Identity, Risk & Compliance",Global,,,,8,"Product, Risk, Compliance, Data, Engineering",https://www.veriff.com,https://www.linkedin.com/company/veriff,https://www.veriff.com/careers,"Tier 2 Identity, Risk & Compliance talent pool for Lean. Useful for product, risk, compliance, data, engineering mapping."
Persona,Tier 2,"Identity, Risk & Compliance","Identity, Risk & Compliance",Global,,,,8,"Product, Risk, Compliance, Data, Engineering",https://www.persona.com,https://www.linkedin.com/company/persona,https://www.persona.com/careers,"Tier 2 Identity, Risk & Compliance talent pool for Lean. Useful for product, risk, compliance, data, engineering mapping."
Alloy,Tier 2,"Identity, Risk & Compliance","Identity, Risk & Compliance",Global,,,,8,"Product, Risk, Compliance, Data, Engineering",https://www.alloy.com,https://www.linkedin.com/company/alloy,https://www.alloy.com/careers,"Tier 2 Identity, Risk & Compliance talent pool for Lean. Useful for product, risk, compliance, data, engineering mapping."
